texto,etiqueta,explicacion,label_id
"Se busca recepcionista, preferentemente hombre.",sesgo_genero_masculino,"Expresa una preferencia explícita por candidatos masculinos, excluyendo implícitamente a mujeres.",0
Se solicita auxiliar administrativo (solo varones).,sesgo_genero_masculino,"Indica que únicamente se aceptan varones, una discriminación directa por género.",0
Buscamos vendedor con perfil masculino y buena presencia.,sesgo_genero_masculino,"Requiere un 'perfil masculino', favoreciendo a hombres y asociando aptitudes a un género.",0
Puestos de seguridad: solo apto para hombres.,sesgo_genero_masculino,"Excluye explícitamente a mujeres del puesto, indicando sesgo hacia candidatos masculinos.",0
"Se necesita chofer: hombre responsable, 30-45 años.",sesgo_genero_masculino,"Solicita específicamente un hombre para el puesto, condicionando la selección por género.",0
Equipo de obras: se requiere personal masculino para trabajo pesado.,sesgo_genero_masculino,"Asume que solo los hombres pueden realizar trabajo pesado, excluyendo a mujeres por estereotipo de género.",0
Se busca líder de taller (hombre preferido).,sesgo_genero_masculino,Manifiesta una preferencia por candidatos masculinos para un rol de liderazgo.,0
Vacante para técnico: se valora actitud masculina.,sesgo_genero_masculino,Valorar una 'actitud masculina' implica preferencia por rasgos asociados a hombres y discrimina por género.,0
Se necesita asistente con carácter varonil y presencia imponente.,sesgo_genero_masculino,"Asocia cualidades deseadas al género masculino, favoreciendo a hombres y excluyendo a otras identidades.",0
Mujeres abstenerse — puesto para operarios hombres.,sesgo_genero_masculino,"Exhorta explícitamente a mujeres a no postularse y declara el puesto destinado a hombres, constituyendo sesgo claro.",0
"Se busca secretaria para oficina, mujeres preferentemente.",sesgo_genero_femenino,Favorece explícitamente a mujeres para el puesto por motivos de género.,1
Necesitamos recepcionista (solo mujeres).,sesgo_genero_femenino,Excluye a candidatos masculinos indicando que solo se aceptan mujeres.,1
Se solicita enfermera con experiencia.,sesgo_genero_femenino,Uso del término femenino que implica preferencia de género para el puesto.,1
Asistente de ventas — preferiblemente mamá joven.,sesgo_genero_femenino,"Dirigido a mujeres (madres), introduciendo una preferencia de género y rol familiar.",1
"Solicitamos consultora comercial, edad 25-35, mujeres.",sesgo_genero_femenino,"Indica explícitamente que buscan candidatas mujeres, excluyendo por género.",1
"Oferta: promotora de productos, solo para mujeres.",sesgo_genero_femenino,Restricción clara del puesto a personas de género femenino.,1
Buscamos guía turística femenina para grupo escolar.,sesgo_genero_femenino,"Pide específicamente una persona femenina, mostrando preferencia de género.",1
Vacante: estilista (solo damas).,sesgo_genero_femenino,Indica que el puesto está reservado únicamente para mujeres.,1
"Se necesita vendedora de tienda, mujeres con buena presencia.",sesgo_genero_femenino,"Describe el puesto en femenino y exige candidatas mujeres, basando la selección en género.",1
Contratamos niñera/empleada doméstica — mujeres preferidas.,sesgo_genero_femenino,"Expresa preferencia por mujeres para tareas domésticas y de cuidado, generando sesgo de género.",1
"Se busca diseñador gráfico, solo para argentinos.",sesgo_nacionalidad,Exclusión explícita de personas que no sean de determinada nacionalidad; discrimina por origen nacional.,4
Vacante: administrativo — preferimos mexicanos nativos.,sesgo_nacionalidad,"Prefiere candidatos por su nacionalidad en lugar de competencias o autorización laboral, lo que constituye sesgo por nacionalidad.",4
Ofrecemos puesto para españoles con residencia en España únicamente.,sesgo_nacionalidad,"Limita la vacante a personas de una nacionalidad específica, excluyendo a solicitantes de otras nacionalidades aunque puedan tener derecho a trabajar.",4
No se considerarán candidaturas de venezolanos.,sesgo_nacionalidad,"Exclusión directa y explícita de una nacionalidad concreta, resultado en discriminación por nacionalidad.",4
Se requiere ser ciudadano colombiano.,sesgo_nacionalidad,"Condiciona la contratación a la ciudadanía, lo que discrimina por nacionalidad salvo en casos legales excepcionales.",4
Contrato disponible solo para ciudadanos de la Unión Europea.,sesgo_nacionalidad,"Restricción basada en pertenencia a un conjunto de nacionalidades, excluye a quienes no pertenecen a esa región.",4
Buscamos ingeniero — solo latinoamericanos.,sesgo_nacionalidad,"Limita la búsqueda a candidatos de una región/nacionalidad, introduciendo sesgo por origen nacional.",4
Puestos técnicos: preferencia por peruanos con experiencia.,sesgo_nacionalidad,Prioriza candidatos según su nacionalidad en lugar de criterios neutrales como habilidades o experiencia.,4
Solo aceptamos postulantes cubanos.,sesgo_nacionalidad,Exclusividad por nacionalidad que impide la participación de solicitantes de otras nacionalidades.,4
Se necesita recepcionista — no extranjeros.,sesgo_nacionalidad,"Rechaza de forma general a personas de otras nacionalidades, constituyendo discriminación por nacionalidad.",4
Buscamos persona desarrolladora de software con experiencia en backend.,neutral_inclusivo,Uso de lenguaje neutral ('persona desarrolladora') que evita términos marcadamente de género; se centra en habilidades.,5
Vacante para profesional de ventas: abierta a todas las personas sin distinción de género.,neutral_inclusivo,Mensaje explícito de apertura e igualdad; no se excluye por género y se emplea 'personas' como término inclusivo.,5
Se solicita persona coordinadora de proyectos; contratación abierta a todas las identidades.,neutral_inclusivo,"Uso de 'persona coordinadora' y mención explícita de inclusión de todas las identidades, evitando sesgos de género.",5
"Oferta laboral: analista de datos — buscamos a quien cumpla con los requisitos, sin importar género u orientación.",neutral_inclusivo,Enfatiza requisitos profesionales y declara no discriminar por género u orientación; lenguaje inclusivo y neutro.,5
Posición: especialista en UX — abierta a personas de todas las identidades.,neutral_inclusivo,Titular neutral ('especialista') y declaración clara de inclusión de todas las identidades.,5
Empresa inclusiva busca líder de equipo con enfoque en diversidad e inclusión.,neutral_inclusivo,"Se declara compromiso con diversidad e inclusión, mostrando intención de contratación sin sesgos.",5
Convocatoria: persona asistente administrativa — se valorará la experiencia; abierta a todas las edades.,neutral_inclusivo,"Lenguaje neutral en el cargo y explícita apertura por rango etario, evitando discriminación por edad.",5
Puesto: persona técnica de soporte — igualdad de oportunidades para todas las personas.,neutral_inclusivo,"Uso de 'persona técnica' y énfasis en igualdad de oportunidades, señalando inclusión.",5
Buscamos profesional bilingüe; la oferta está abierta independientemente del género o identidad.,neutral_inclusivo,Prioriza habilidad (bilingüismo) y declara apertura sin distinción por género o identidad.,5
Oferta para marketing digital: se invita a candidaturas de todas las identidades y capacidades.,neutral_inclusivo,"Invitación explícita a personas con distintas identidades y capacidades, promoviendo inclusión y accesibilidad.",5
